Location/Field,Leaf_Color,Symptoms,Whitefly_Presence,Temperature,Humidity,Soil_Moisture,Previous_Crop,Cotton_Variety,Disease_Type
Rajasthan,Yellow,Wilting,No,24.1539921,Mid,Moist,Oilseeds,Hybrid,Fusarium Wilt
Telangana,Green,Twist or Curl upwards,Yes,19.17765448,Mid,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
West Bengal,Green,Absent,No,22.37414342,Low,Warm,Grains,Hybrid,Normal
Jharkhand,Green,Twist or Curl upwards,Yes,22.39626512,High,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Uttar Pradesh,Yellow,Wilting,No,16.0471004,Mid,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Punjab,Green,Twist or Curl upwards,Yes,30.35135257,High,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
West Bengal,Green,Twist or Curl upwards,Yes,23.33008864,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Madhya Pradesh,Yellow,Wilting,No,31.44359774,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Rajasthan,Green,Twist or Curl upwards,Yes,32.00696002,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Tamil Nadu,Brown,Lesions,No,19.23988109,Low,Warm,Legumes,Region-Specific,Bacterial Blight
Andhra Pradesh,Green,Twist or Curl upwards,Yes,28.14706964,Low,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Rajasthan,Yellow,Wilting,No,24.44563608,Low,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Uttar Pradesh,Yellow,Wilting,No,32.60313476,High,Dry,Legumes,Hybrid,Verticillium Wilt
Uttar Pradesh,Brown,Lesions,No,19.31481358,Low,Warm,Grains,Hybrid,Bacterial Blight
Punjab,Green,Twist or Curl upwards,Yes,28.55626401,Low,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Madhya Pradesh,Green,Absent,No,27.15504245,High,Warm,Legumes,Hybrid,Normal
Telangana,Green,Twist or Curl upwards,Yes,20.90602955,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Punjab,Yellow,Wilting,No,17.73201807,High,Dry,Grains,Hybrid,Verticillium Wilt
Punjab,Yellow,Wilting,No,28.03279521,High,Moist,Grains,Region-Specific,Fusarium Wilt
Andhra Pradesh,Brown,Lesions,No,29.77194916,High,Warm,Grains,Hybrid,Bacterial Blight
Haryana,Yellow,Wilting,No,21.31254688,Low,Moist,Legumes,Hybrid,Fusarium Wilt
Madhya Pradesh,Green,Absent,No,27.89665208,Low,Warm,Grains,Hybrid,Normal
Maharashtra,Green,Twist or Curl upwards,Yes,22.90261815,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Punjab,Green,Absent,No,29.26413767,Mid,Warm,Legumes,Hybrid,Normal
Odisha,Yellow,Wilting,No,18.9843055,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
Chhattisgarh,Green,Twist or Curl upwards,Yes,32.80430005,Mid,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Haryana,Green,Absent,No,20.74819193,Low,Warm,Legumes,Region-Specific,Normal
Maharashtra,Yellow,Wilting,No,22.35571976,High,Dry,Oilseeds,Hybrid,Verticillium Wilt
Odisha,Yellow,Wilting,No,16.16183904,Low,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Madhya Pradesh,Brown,Lesions,No,17.23024425,Mid,Warm,Oilseeds,Hybrid,Bacterial Blight
Gujarat,Yellow,Wilting,No,25.31723805,Mid,Dry,Grains,Region-Specific,Verticillium Wilt
Odisha,Yellow,Wilting,No,20.35185353,Low,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Tamil Nadu,Yellow,Wilting,No,31.70960451,High,Moist,Grains,Region-Specific,Fusarium Wilt
Haryana,Yellow,Wilting,No,15.29386777,Low,Dry,Oilseeds,Region-Specific,Verticillium Wilt
West Bengal,Yellow,Wilting,No,22.58188097,Low,Dry,Grains,Hybrid,Verticillium Wilt
Odisha,Yellow,Wilting,No,21.74691094,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Karnataka,Yellow,Wilting,No,15.38655262,High,Dry,Legumes,Region-Specific,Verticillium Wilt
Gujarat,Yellow,Wilting,No,17.48736798,Mid,Dry,Oilseeds,Region-Specific,Verticillium Wilt
Uttar Pradesh,Brown,Lesions,No,23.2728535,High,Warm,Grains,Hybrid,Bacterial Blight
Uttar Pradesh,Yellow,Wilting,No,24.85729169,Mid,Dry,Legumes,Region-Specific,Verticillium Wilt
Jharkhand,Yellow,Wilting,No,23.08579495,Mid,Dry,Legumes,Hybrid,Verticillium Wilt
Tamil Nadu,Brown,Lesions,No,25.61875357,Mid,Warm,Legumes,Hybrid,Bacterial Blight
Odisha,Yellow,Wilting,No,26.9026335,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Odisha,Yellow,Wilting,No,15.19847642,Low,Dry,Oilseeds,Hybrid,Verticillium Wilt
Jharkhand,Green,Absent,No,24.28190319,Low,Warm,Grains,Region-Specific,Normal
Chhattisgarh,Yellow,Wilting,No,34.26998482,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Chhattisgarh,Yellow,Wilting,No,25.3806456,Low,Moist,Oilseeds,Region-Specific,Fusarium Wilt
Jharkhand,Yellow,Wilting,No,28.55084535,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
Chhattisgarh,Brown,Lesions,No,21.23727716,High,Warm,Legumes,Region-Specific,Bacterial Blight
Andhra Pradesh,Yellow,Wilting,No,30.47982756,High,Moist,Legumes,Region-Specific,Fusarium Wilt
Odisha,Brown,Lesions,No,30.45842964,High,Warm,Legumes,Region-Specific,Bacterial Blight
Rajasthan,Green,Absent,No,25.42592095,High,Warm,Oilseeds,Hybrid,Normal
Telangana,Brown,Lesions,No,34.52027647,High,Warm,Grains,Hybrid,Bacterial Blight
Karnataka,Green,Twist or Curl upwards,Yes,17.5110043,High,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Andhra Pradesh,Brown,Lesions,No,15.3389533,High,Warm,Oilseeds,Region-Specific,Bacterial Blight
Madhya Pradesh,Yellow,Wilting,No,30.40316424,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
Andhra Pradesh,Brown,Lesions,No,31.14311075,Mid,Warm,Legumes,Region-Specific,Bacterial Blight
Rajasthan,Brown,Lesions,No,17.40414458,High,Warm,Grains,Hybrid,Bacterial Blight
Madhya Pradesh,Green,Twist or Curl upwards,Yes,20.31165666,Mid,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Karnataka,Green,Twist or Curl upwards,Yes,15.35104727,High,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Rajasthan,Yellow,Wilting,No,20.86617222,High,Dry,Legumes,Region-Specific,Verticillium Wilt
Maharashtra,Yellow,Wilting,No,30.46283748,Low,Moist,Grains,Hybrid,Fusarium Wilt
Telangana,Yellow,Wilting,No,25.35921055,Mid,Dry,Grains,Hybrid,Verticillium Wilt
Karnataka,Green,Twist or Curl upwards,Yes,21.96191186,Low,Warm,Legumes,Region-Specific,Cotton Leaf Curl Disease
Odisha,Brown,Lesions,No,22.4347859,Low,Warm,Oilseeds,Region-Specific,Bacterial Blight
Chhattisgarh,Green,Twist or Curl upwards,Yes,15.02707251,Mid,Warm,Legumes,Hybrid,Cotton Leaf Curl Disease
Maharashtra,Green,Absent,No,20.99601055,Low,Warm,Oilseeds,Hybrid,Normal
Tamil Nadu,Brown,Lesions,No,27.92917483,High,Warm,Grains,Hybrid,Bacterial Blight
Karnataka,Yellow,Wilting,No,34.48388888,High,Dry,Legumes,Region-Specific,Verticillium Wilt
Tamil Nadu,Brown,Lesions,No,31.94121654,High,Warm,Grains,Region-Specific,Bacterial Blight
Madhya Pradesh,Green,Absent,No,15.47189929,High,Warm,Oilseeds,Region-Specific,Normal
Maharashtra,Green,Twist or Curl upwards,Yes,32.97121209,High,Warm,Oilseeds,Hybrid,Cotton Leaf Curl Disease
Telangana,Yellow,Wilting,No,30.66396827,Low,Moist,Legumes,Hybrid,Fusarium Wilt
Odisha,Yellow,Wilting,No,30.60752247,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Jharkhand,Yellow,Wilting,No,24.15991518,High,Moist,Legumes,Hybrid,Fusarium Wilt
Odisha,Green,Twist or Curl upwards,Yes,22.96010586,High,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Rajasthan,Yellow,Wilting,No,21.05831458,Low,Moist,Oilseeds,Hybrid,Fusarium Wilt
Odisha,Green,Absent,No,16.31389718,Mid,Warm,Oilseeds,Hybrid,Normal
West Bengal,Green,Twist or Curl upwards,Yes,19.56470727,Low,Warm,Grains,Hybrid,Cotton Leaf Curl Disease
Punjab,Yellow,Wilting,No,19.9320727,Low,Moist,Legumes,Region-Specific,Fusarium Wilt
Jharkhand,Yellow,Wilting,No,24.68154139,Low,Dry,Legumes,Region-Specific,Verticillium Wilt
Andhra Pradesh,Green,Twist or Curl upwards,Yes,29.94888813,Low,Warm,Grains,Region-Specific,Cotton Leaf Curl Disease
Chhattisgarh,Green,Twist or Curl upwards,Yes,24.47619657,Low,Warm,Oilseeds,Region-Specific,Cotton Leaf Curl Disease
Gujarat,Brown,Lesions,No,16.15688899,Mid,Warm,Oilseeds,Region-Specific,Bacterial Blight
Telangana,Yellow,Wilting,No,34.15579602,High,Moist,Oilseeds,Hybrid,Fusarium Wilt
Maharashtra,Yellow,Wilting,No,33.85448638,High,Dry,Oilseeds,Hybrid,Verticillium Wilt
